campaign_name,ad_set_name,ad_name,platform,region,language,audience,placement,budget_total_jpy,budget_daily_jpy,concept,creative_type,primary_text,headline,description,cta,final_url,utm_source,utm_medium,utm_campaign,utm_content,utm_term,asset_note,status
rata_pass_jp_phase1_meta,jp_art_travel_instagram_lead,japan_first_static_01,meta,jp,ja,アート関心層・旅行関心層,instagram_feed,150000,5357,日本初,static,"Jason deCaires Taylorによる、日本初の環境再生型水中彫刻プロジェクトが徳之島の海で進行中です。正式リリースに先駆けて、先行案内にご登録いただけます。",日本初。海に沈む、環境再生型アート。,徳之島 Ocean Gaia — 環境再生型水中アートプロジェクト,先行案内に登録する,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_meta&utm_content=japan_first&utm_term=,meta,cpc,rata_pass_jp_phase1_meta,japan_first,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_jp_phase1_meta,jp_ocean_sustainable_instagram_lead,ocean_regeneration_static_01,meta,jp,ja,環境・サステナビリティ関心層,instagram_feed,150000,5357,海の再生,static,"徳之島の海に作品を設置し、環境再生に向けた取り組みを行うアートプロジェクト「Ocean Gaia」。旅をすることが、海と向き合うきっかけになる――そんな新しい旅のかたちを先行案内でご紹介しています。",あなたの旅が、海の再生につながる。,環境再生型アート × 徳之島の海,RATAパス先行案内に登録する,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_meta&utm_content=ocean_regeneration&utm_term=,meta,cpc,rata_pass_jp_phase1_meta,ocean_regeneration,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_jp_phase1_meta,jp_ocean_sustainable_instagram_lead,founding_supporter_static_01,meta,jp,ja,環境・サステナビリティ関心層,instagram_feed,150000,5357,Founding Supporter,static,"RATA PASSは現在、正式リリースに向けた先行案内登録を受付中です。最初期にご登録いただいた方には、今後の情報を優先的にお届けします。無料でご登録いただけます。",正式リリース前のFounding Supporterへ。,RATA PASS 先行案内登録（無料）,先行案内に登録する,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_meta&utm_content=founding_supporter&utm_term=,meta,cpc,rata_pass_jp_phase1_meta,founding_supporter,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_jp_phase1_meta,jp_art_travel_instagram_lead,tokunoshima_travel_static_01,meta,jp,ja,旅行関心層,instagram_feed,150000,5357,徳之島旅行,static,"鹿児島県・徳之島。透明度の高い海の中に、アート作品が広がっています。シュノーケルやダイビングを通じて、旅の体験そのものをアートにする――その先行案内に今すぐご登録ください。",次の旅は、徳之島の海の中へ。,徳之島旅行 × 水中アート体験,RATA PASSを見る,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_meta&utm_content=tokunoshima_travel&utm_term=,meta,cpc,rata_pass_jp_phase1_meta,tokunoshima_travel,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_jp_phase1_meta,jp_art_travel_instagram_lead,artist_story_static_01,meta,jp,ja,アート関心層,instagram_feed,150000,5357,アーティスト,static,"水中彫刻で知られるアーティスト、Jason deCaires Taylorが手がける作品が、徳之島の海に設置されています。作品の背景や制作過程について、先行案内にご登録いただいた方に優先してお届けします。",世界的アーティストが、徳之島の海に残したもの。,アーティスト×環境再生アート,Ocean Gaiaを見る,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_meta&utm_content=artist_story&utm_term=,meta,cpc,rata_pass_jp_phase1_meta,artist_story,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_tw_hk_phase1_meta,tw_hk_japan_travel_instagram_lead,japan_underwater_art_static_01,meta,tw_hk,zh-TW,日本旅行関心層,instagram_feed,60000,2143,標準型,static,"由藝術家Jason deCaires Taylor打造的環境再生型水中雕塑作品，正於日本鹿兒島縣德之島的海中展開。我們正在進行先行登記，搶先掌握最新資訊。",日本德之島，誕生了一座海中的再生藝術。,RATA PASS 先行登記（免費）,先行登記 RATA Pass,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_tw_hk_phase1_meta&utm_content=standard&utm_term=,meta,cpc,rata_pass_tw_hk_phase1_meta,standard,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_tw_hk_phase1_meta,tw_hk_japan_travel_instagram_lead,discovery_static_01,meta,tw_hk,zh-TW,日本旅行関心層,instagram_feed,60000,2143,發現型,static,"在德之島的海中，有一座還鮮少人知的環境再生型藝術作品。透過先行登記，你可以優先收到這個計畫的最新消息。",獻給正在尋找特別日本旅程的你。,德之島 Ocean Gaia 先行登記,登記先行通知,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_tw_hk_phase1_meta&utm_content=discovery&utm_term=,meta,cpc,rata_pass_tw_hk_phase1_meta,discovery,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_sg_phase1_meta,sg_sustainable_travel_instagram_lead,underwater_art_standard_static_01,meta,sg,en,サステナブル旅行関心層,instagram_feed,30000,1071,Standard,static,"A regenerative underwater art project by artist Jason deCaires Taylor is taking shape off the coast of Tokunoshima, Japan. Pre-registration is now open — sign up to receive priority updates ahead of the official launch.",Japan's first regenerative underwater sculpture.,RATA PASS pre-registration (free),Pre-Register for the RATA Pass,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_sg_phase1_meta&utm_content=standard&utm_term=,meta,cpc,rata_pass_sg_phase1_meta,standard,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_sg_phase1_meta,sg_sustainable_travel_instagram_lead,discovery_static_01,meta,sg,en,サステナブル旅行関心層,instagram_feed,30000,1071,Discovery,static,"Off the coast of Tokunoshima, a regenerative art project is quietly taking shape beneath the waves. Pre-register now to be among the first to know as it develops.",For those seeking a different kind of journey in Japan.,Tokunoshima Ocean Gaia — pre-registration,Join the early list,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_sg_phase1_meta&utm_content=discovery&utm_term=,meta,cpc,rata_pass_sg_phase1_meta,discovery,,人間が広告アカウント上でクリエイティブ画像/動画を用意し入稿する,draft_pending_human_review
rata_pass_jp_phase1_google_search,jp_search_tokunoshima_google_lead,search_tokunoshima_art_01,google,jp,ja,徳之島・水中アート検索層,google_search,40000,1429,検索キーワード:徳之島 アート,search_text,徳之島の海に広がる環境再生型アートプロジェクト。先行案内登録で最新情報を優先案内。,徳之島の水中アート「Ocean Gaia」先行案内登録,正式リリース前の先行案内登録はこちらから（無料）,先行案内に登録する,https://www.rata.jp/?utm_source=google&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_google_search&utm_content=search_tokunoshima_art&utm_term=徳之島%20アート,google,cpc,rata_pass_jp_phase1_google_search,search_tokunoshima_art,徳之島 アート,人間が広告アカウントでキーワード/マッチタイプを設定し入稿する,draft_pending_human_review
rata_pass_jp_phase1_google_search,jp_search_tokunoshima_google_lead,search_ocean_gaia_01,google,jp,ja,Ocean Gaia指名検索層,google_search,40000,1429,検索キーワード:Ocean Gaia 徳之島,search_text,Jason deCaires Taylorによる日本初の環境再生型水中彫刻プロジェクト。先行案内登録受付中。,Ocean Gaia（徳之島）先行案内登録受付中,正式リリース前の先行案内登録はこちらから（無料）,RATA PASSを見る,https://www.rata.jp/?utm_source=google&utm_medium=cpc&utm_campaign=rata_pass_jp_phase1_google_search&utm_content=search_ocean_gaia&utm_term=Ocean%20Gaia%20徳之島,google,cpc,rata_pass_jp_phase1_google_search,search_ocean_gaia,Ocean Gaia 徳之島,人間が広告アカウントでキーワード/マッチタイプを設定し入稿する,draft_pending_human_review
rata_pass_retarget_phase1_meta,jp_retarget_lp_visitors_instagram_lead,retarget_personal_invitation_static_01,meta,retarget,ja,LP訪問済み・未登録ユーザー,instagram_feed,20000,714,パーソナル感（再訪促進）,static,"いつもの旅とは違う、海と向き合う時間を。徳之島で進む環境再生型アートプロジェクトの先行案内に、今のうちにご登録いただけます。",海のある旅が好きなあなたへ。,海と旅が好きな方へ,先行案内に登録する,https://www.rata.jp/?utm_source=meta&utm_medium=cpc&utm_campaign=rata_pass_retarget_phase1_meta&utm_content=personal_invitation&utm_term=,meta,cpc,rata_pass_retarget_phase1_meta,personal_invitation,,人間が広告アカウントでリターゲティング配信オーディエンスを設定し入稿する,draft_pending_human_review
